Air	Temp	Acid	Stkloss
80	27	58.9000	4.20000
80	27	58.8000	3.70000
75	25	59.0000	3.70000
62	24	58.7000	2.80000
62	22	58.7000	1.80000
62	23	58.7000	1.80000
62	24	59.3000	1.90000
62	24	59.3000	2.00000
58	23	58.7000	1.50000
58	18	58.0000	1.40000
58	18	58.9000	1.40000
58	17	58.8000	1.30000
58	18	58.2000	1.10000
58	19	59.3000	1.20000
50	18	58.9000	0.80000
50	18	58.6000	0.70000
50	19	57.2000	0.80000
50	19	57.9000	0.80000
50	20	58.0000	0.90000
56	20	58.2000	1.50000
70	20	59.1000	1.50000
